Product Name,Barcode,Product Group,Designed Capacity (ml),Material Type,"Height (with cap, in mm)",Registration Status,Weight - Empty(gm),Date Approval Status updated,Largest diameter (mm),Expiry Date,Glass Colour,PET Colour,Glass Colour - Other,Beverage Registrations #,Product Group - Other,Material Type - Other,NSW Refund Logo,Removable Lid?
IPPIN Nama Junmai 6/1.8L,4933041184636,Other,1800,Glass,400,Active,950,12-Dec-18,104,13-Nov-23,Blue,,,BR-0009049,sake,,TRUE,
Toyosawa Shuzo Hoshuku Yuzu Shu (5-6%),4935411000409,Other,720,Glass,295,Active,450,11-Dec-17,75,7-Dec-22,Other,,Clear,BR-0007364,Sake,,FALSE,
Giant Ramune Universal15/410ml,4972842339012,Flavoured water/soft drink (carbonated),410,Glass,255,Active,370,21-Dec-18,63,13-Nov-23,Flint/Clear,,,BR-0009075,,,TRUE,
Giant Ramune S.Berry 15/410ml,4972842339029,Flavoured water/soft drink (carbonated),410,Glass,255,Active,370,21-Dec-18,63,13-Nov-23,Flint/Clear,,,BR-0009076,,,TRUE,
Giant Ramune Melon 15/410ml,4972842339036,Flavoured water/soft drink (carbonated),410,Glass,255,Active,370,21-Dec-18,63,13-Nov-23,Flint/Clear,,,BR-0009077,,,TRUE,
KIMURA Ramune S.Berry 30/200ml,4972842370329,Flavoured water/soft drink (carbonated),200,Glass,200,Active,82,12-Dec-18,55,13-Nov-23,Flint/Clear,,,BR-0009081,,,TRUE,
KIMURA Ramune Melon 18/200ml,4972842370336,Flavoured water/soft drink (carbonated),200,Glass,200,Active,82,12-Dec-18,55,13-Nov-23,Flint/Clear,,,BR-0009085,,,TRUE,
KIMURA Ramune Orange 30/200ml,4972842370343,Flavoured water/soft drink (carbonated),200,Glass,200,Active,82,12-Dec-18,55,13-Nov-23,Flint/Clear,,,BR-0009080,,,TRUE,
KIMURA Ramune Lychee 30/200ml,4972842370350,Flavoured water/soft drink (carbonated),200,Glass,200,Active,82,12-Dec-18,55,13-Nov-23,Flint/Clear,,,BR-0009082,,,TRUE,
KIMURA Ramune Yuzu 18/200ml,4972842370367,Flavoured water/soft drink (carbonated),200,Glass,200,Active,82,12-Dec-18,55,13-Nov-23,Flint/Clear,,,BR-0009083,,,TRUE,
KIMURA Ramune Suika 18/200ml,4972842370374,Flavoured water/soft drink (carbonated),200,Glass,200,Active,82,12-Dec-18,55,13-Nov-23,Flint/Clear,,,BR-0009084,,,TRUE,
KIMURA Daruma Cider 24/300ml,4972842373207,Flavoured water/soft drink (carbonated),200,Glass,200,Active,82,12-Dec-18,55,13-Nov-23,Flint/Clear,,,BR-0009078,,,TRUE,
Fukumaneki Cider 24/300ml,4972842373252,Flavoured water/soft drink (carbonated),200,Glass,200,Active,82,12-Dec-18,55,13-Nov-23,Flint/Clear,,,BR-0009079,,,TRUE,
IPPONGI Denshin Rin 36/180ml,4973092007218,Other,180,Glass,180,Active,190,12-Dec-18,54,13-Nov-23,Blue,,,BR-0009056,sake,,TRUE,
IPPONGI Denshin Yuki 36/180ml,4973092007225,Other,180,Glass,180,Active,190,12-Dec-18,54,13-Nov-23,Flint/Clear,,,BR-0009058,sake,,TRUE,
IPPONGI Denshin Ine 36/180ml,4973092007232,Other,180,Glass,180,Active,190,12-Dec-18,54,13-Nov-23,Green,,,BR-0009054,sake,,TRUE,
IPPONGI Denshin Rin 6/720ml,4973092007263,Other,720,Glass,292,Active,420,12-Dec-18,79,13-Nov-23,Blue,,,BR-0009055,sake,,TRUE,
IPPONGI Denshin Yuki 6/1.8L,4973092007270,Other,1800,Glass,400,Active,950,12-Dec-18,104,13-Nov-23,Flint/Clear,,,BR-0009053,sake,,TRUE,
IPPONGI Denshin Yuki 6/720ml,4973092007287,Other,720,Glass,292,Active,420,12-Dec-18,79,13-Nov-23,Flint/Clear,,,BR-0009057,sake,,TRUE,
Denshin Ine Nama 6/1.8L,4973092007591,Other,1800,Glass,400,Active,950,12-Dec-18,104,13-Nov-23,Green,,,BR-0009062,sake,,TRUE,
IPPONGI First Class 1/720ml,4973092007782,Other,720,Glass,277,Active,420,12-Dec-18,85,13-Nov-23,Other,,OTHER,BR-0009059,sake,,TRUE,
Ippongi Hannya Tiu 20/150ml,4973092007911,Other,150,Glass,170,Active,180,12-Dec-18,40,13-Nov-23,Flint/Clear,,,BR-0009070,OTHER,,TRUE,
KINMIYA Miyanoyuki 12/720ml,4977991172831,Other,720,Glass,292,Active,420,12-Dec-18,79,13-Nov-23,Amber/Brown,,,BR-0009086,sake,,TRUE,
Kubota Suiju Daiginjo Nama Sake (13-14.9%),4984283052016,Other,720,Glass,295,Active,450,5-Mar-18,75,7-Dec-22,Amber/Brown,,,BR-0007363,Sake,,FALSE,
Boddingtons English Pub Ale,5010017046897,Beer,440,Aluminium,170,Active,21,15-Nov-17,70,30-Nov-22,,,,BR-0002881,,,FALSE,No
Stella Artois 660mL,5010017109714,Beer,660,Glass,280,Active,326,30-Nov-17,74,30-Nov-22,Flint/Clear,,,BR-0004059,,,FALSE,
Stella Artois,5010017109769,Beer,330,Glass,225,Active,190,30-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0004058,,,FALSE,
Stella Artois Can,5010017109851,Beer,500,Aluminium,170,Active,30,26-Feb-18,65,30-Nov-22,,,,BR-0002867,,,FALSE,No
Grolsch Lager,5010038045091,Beer,500,Aluminium,180,Active,30,19-Jan-18,60,30-Nov-22,,,,BR-0005494,,,FALSE,No
Bishops Finger Kentish Strong Ale,5012686006004,Beer,500,Glass,220,Active,300,2-May-18,80,30-Apr-23,Amber/Brown,,,BR-0008766,,,TRUE,
1698 Kentish Strong Ale,5012686016980,Beer,500,Glass,220,Active,300,2-May-18,80,30-Apr-23,Amber/Brown,,,BR-0008765,,,TRUE,
Aspall Cyder,5012845172847,Cider/fruit based alcohol,500,Glass,280,Active,155,30-Nov-17,70,30-Nov-22,Amber/Brown,,,BR-0002929,,,FALSE,
Weston's Premium Organic Apple Cider 12x500ml,5014201203554,Cider/fruit based alcohol,500,Glass,26,Active,230,7-Dec-17,70,1-Dec-22,Amber/Brown,,,BR-0007243,,,FALSE,
Weston's Special Reserve Vintage Cider 12x500ml,5014201655414,Cider/fruit based alcohol,500,Glass,26,Active,230,7-Dec-17,70,1-Dec-22,Amber/Brown,,,BR-0007239,,,FALSE,
Weston's Old Rosie Scrumpy 12x500ml,5014201800548,Cider/fruit based alcohol,500,Glass,26,Active,230,7-Dec-17,70,1-Dec-22,Flint/Clear,,,BR-0007240,,,FALSE,
Weston's Perry Pear Cider 12x500ml,5014201800869,Cider/fruit based alcohol,500,Glass,26,Active,230,7-Dec-17,70,1-Dec-22,Green,,,BR-0007242,,,FALSE,
Weston's Stowford Press Can 24x500ml,5014201800890,Cider/fruit based alcohol,500,Aluminium,26,Active,18,7-Dec-17,70,1-Dec-22,,,,BR-0007241,,,FALSE,No
Weston's Stowford Press Can 24x375ml,5014201801286,Cider/fruit based alcohol,375,Aluminium,20,Active,15,7-Dec-17,70,1-Dec-22,,,,BR-0007238,,,FALSE,No
Weston's Caple Road Can 24x330ml,5014201801958,Cider/fruit based alcohol,330,Aluminium,20,Active,18,7-Dec-17,70,1-Dec-22,,,,BR-0007245,,,FALSE,No
