Product Name,Barcode,Product Group,Designed Capacity (ml),Material Type,"Height (with cap, in mm)",Registration Status,Weight - Empty(gm),Date Approval Status updated,Largest diameter (mm),Expiry Date,Glass Colour,PET Colour,Glass Colour - Other,Beverage Registrations #,Product Group - Other,Material Type - Other,NSW Refund Logo,Removable Lid?
Fanta Grape 330ml,8888002084004,Flavoured water/soft drink (carbonated),330,Aluminium,140,Active,35,1-Feb-18,50,30-Nov-22,,,,BR-0002895,,,FALSE,No
Coke Zero 330ml,8888002087005,Flavoured water/soft drink (carbonated),330,Aluminium,140,Active,35,1-Feb-18,50,30-Nov-22,,,,BR-0002896,,,FALSE,No
Badam Drink,8901042961217,Flavoured milk,180,Aluminium,100,Active,20,10-Nov-17,55,30-Nov-22,,,,BR-0002856,,,FALSE,No
Badam Rose Drink,8901042967868,Flavoured milk,180,Aluminium,100,Active,20,10-Nov-17,55,30-Nov-22,,,,BR-0002858,,,FALSE,No
Badam Cardamom Drink,8901042967875,Flavoured milk,180,Aluminium,100,Active,20,10-Nov-17,55,30-Nov-22,,,,BR-0002857,,,FALSE,No
Thums Up,8901764041105,Flavoured water/soft drink/ sports drink (non-carb),330,Aluminium,140,Active,100,17-Oct-17,50,30-Nov-22,,,,BR-0002672,,,FALSE,No
Limca,8901764051258,Flavoured water/soft drink (carbonated),330,Aluminium,140,Active,100,17-Oct-17,60,30-Nov-22,,,,BR-0002677,,,FALSE,No
Frooti Mango Drink,8902579100025,Other,200,LPB Aseptic (UHT or long life packs),115,Active,20,10-Nov-17,40,30-Nov-22,,,,BR-0002853,Mango Flavoured Drink,,FALSE,
Frooti Mango Drink,8902579104016,Other,500,PET,200,Active,15,10-Nov-17,65,30-Nov-22,,Clear/Transparent,,BR-0002852,Mango Flavoured Drink,,FALSE,
Frooti Mango Drink,8902579105013,Other,1000,PET,260,Active,100,14-Nov-17,75,30-Nov-22,,Clear/Transparent,,BR-0002854,Mango Flavoured Drink,,FALSE,
Frooti Mango Drink,8902579108014,Other,1500,PET,300,Active,50,20-Nov-17,80,30-Nov-22,,Clear/Transparent,,BR-0002855,Mango Flavoured Drink,,FALSE,
SAPPORO LAGER,8936061260126,Beer,650,Steel (cans),190,Active,95,17-Oct-17,70,30-Nov-22,,,,BR-0002479,,,FALSE,No
STIEGL GOLDBRAU,9003400200163,Beer,330,Glass,215,Active,189,7-Dec-17,60,1-Dec-22,Amber/Brown,,,BR-0007596,,,FALSE,
COLES MINERAL WATER ORANGE MANGO 1.25L,9300601293025,Flavoured water/soft drink (carbonated),1250,PET,300,Active,38,30-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0002793,,,FALSE,
COLES MINERAL WATER PINE MANGO 1.25L,9300601293032,Flavoured water/soft drink (carbonated),1250,PET,300,Active,38,30-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0002794,,,FALSE,
SAN PELLEGRINO 750ML,9300601415922,Plain water (carbonated or non-carbonated),750,Glass,360,Active,960,19-Jan-18,130,16-Jan-23,Green,,,BR-0008076,,,FALSE,
COLES NATURAL D PALLET 1.25L,9300601634798,Flavoured water/soft drink (carbonated),1250,PET,300,Active,38,30-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0002785,,,FALSE,
Homebrand Soda Water 6x300ml,9300633025649,Plain water (carbonated or non-carbonated),300,Glass,195,Active,199.5,30-Nov-17,121,30-Nov-22,Flint/Clear,,,BR-0005025,,,FALSE,
Homebrand Juice Tomato L/life 850ml,9300633184681,Fruit juice,750,Steel (cans),175,Active,114,23-Nov-17,86,30-Nov-22,,,,BR-0005024,,,FALSE,No
Select Spring Water Sipper 1L,9300633325220,Plain water (carbonated or non-carbonated),1000,PET,256.6,Active,27,22-Nov-17,82,30-Nov-22,,Clear/Transparent,,BR-0005032,,,FALSE,
Select Spring Water 12 x 250ml,9300633325244,Plain water (carbonated or non-carbonated),250,PET,133,Active,12.7,22-Nov-17,48.7,30-Nov-22,,Clear/Transparent,,BR-0005033,,,FALSE,
Macro Organic CocontWater 330ml,9300633391171,Flavoured water/soft drink/ sports drink (non-carb),330,LPB Aseptic (UHT or long life packs),143,Active,19,30-Nov-17,65,30-Nov-22,,,,BR-0005034,,,FALSE,
Woolworths Cola 1.25L,9300633417574,Flavoured water/soft drink (carbonated),1250,PET,286,Active,41.4,22-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0005035,,,FALSE,
Woolworths Cola Zero Sugar 1.25L,9300633417581,Flavoured water/soft drink (carbonated),1250,PET,286,Active,41.4,22-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0005036,,,FALSE,
Woolworths Cola Diet 1.25L,9300633417598,Flavoured water/soft drink (carbonated),1250,PET,286,Active,41.4,22-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0005037,,,FALSE,
WW Light Sparkling Spring Water 6x500ml,9300633417871,Plain water (carbonated or non-carbonated),500,PET,218,Active,24.4,22-Nov-17,68.5,30-Nov-22,,Other,,BR-0005038,,,TRUE,
WW L/S Spring Water 500ml,9300633417888,Plain water (carbonated or non-carbonated),500,PET,218,Active,24.4,22-Nov-17,68.5,30-Nov-22,,Clear/Transparent,,BR-0005039,,,FALSE,
WW L/S Spring Water 1.25L,9300633417895,Plain water (carbonated or non-carbonated),1250,PET,284,Active,36.5,22-Nov-17,89.5,30-Nov-22,,Clear/Transparent,,BR-0005040,,,FALSE,
Select Great Start Strawberry 3x250ml,9300633426163,Flavoured milk,250,LPB Aseptic (UHT or long life packs),105,Active,11.2,22-Nov-17,63,30-Nov-22,,,,BR-0005041,,,FALSE,
Select Great Start Chocolate 3x250ml,9300633426187,Flavoured milk,250,LPB Aseptic (UHT or long life packs),105,Active,11.2,22-Nov-17,63,30-Nov-22,,,,BR-0005042,,,FALSE,
Select Great Start Banana 3x250ml,9300633426194,Flavoured milk,250,LPB Aseptic (UHT or long life packs),105,Active,11.2,22-Nov-17,63,30-Nov-22,,,,BR-0005043,,,FALSE,
Select Spring Water 6 x 600ml,9300633443955,Plain water (carbonated or non-carbonated),600,PET,229.7,Active,12.7,22-Nov-17,66,30-Nov-22,,Other,,BR-0005044,,,TRUE,
John Boston Summer Ale,9300633513917,Beer,330,Glass,230,Active,205,13-Nov-17,60,30-Nov-22,Amber/Brown,,,BR-0003092,,,TRUE,
John Boston Summer Ale,9300633513924,Beer,375,Aluminium,130,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0003096,,,TRUE,No
John Boston Pale Ale,9300633513931,Beer,375,Aluminium,130,Active,15,13-Nov-17,60,30-Nov-22,,,,BR-0003095,,,TRUE,No
Select Great Start Choc/Conut 3x250ml,9300633524074,Flavoured milk,250,LPB Aseptic (UHT or long life packs),105,Active,11.2,22-Nov-17,63,30-Nov-22,,,,BR-0005045,,,FALSE,
Essentials Apple Drink 3Lt,9300633566524,Flavoured water/soft drink/ sports drink (non-carb),3000,PET,300,Active,101,30-Nov-17,137,30-Nov-22,,Clear/Transparent,,BR-0005027,,,FALSE,
Essentials Tropical Fruit Drink 3Lt,9300633566531,Flavoured water/soft drink/ sports drink (non-carb),3000,PET,300,Active,101,30-Nov-17,137,30-Nov-22,,Clear/Transparent,,BR-0005028,,,FALSE,
Steersman Ultra Dry Beer,9300633581213,Beer,330,Glass,222,Active,190,30-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0004057,,,TRUE,
Tun Green Bitter,9300633582470,Beer,330,Aluminium,113,Active,15,30-Nov-17,65,30-Nov-22,,,,BR-0004067,,,TRUE,No
Tun Red Draught,9300633582487,Beer,330,Aluminium,113,Active,15,29-Nov-17,65,30-Nov-22,,,,BR-0004068,,,TRUE,No
Tun Blue Light,9300633582494,Beer,330,Aluminium,113,Active,15,30-Nov-17,65,30-Nov-22,,,,BR-0004065,,,TRUE,No
Tun Gold Mid,9300633582500,Beer,330,Aluminium,113,Active,15,30-Nov-17,65,30-Nov-22,,,,BR-0004066,,,TRUE,No
Substation 41 Rum & Ginger Ale,9300633599270,Premixed alcoholic beverages,375,Aluminium,130,Active,20,30-Nov-17,65,30-Nov-22,,,,BR-0004063,,,TRUE,No
Substation 41 Rum & Cola,9300633599287,Premixed alcoholic beverages,375,Aluminium,130,Active,20,30-Nov-17,65,30-Nov-22,,,,BR-0004062,,,TRUE,No
Stand Spring Water 6X600Ml,9300633616175,Plain water (carbonated or non-carbonated),600,PET,229.7,Active,15.2,22-Nov-17,66,30-Nov-22,,Clear/Transparent,,BR-0005029,,,FALSE,
WW Light Sparkling Spring Wter 20X500Ml,9300633629755,Plain water (carbonated or non-carbonated),500,PET,218,Active,24.4,22-Nov-17,68.5,30-Nov-22,,Other,,BR-0005030,,,TRUE,
John Boston Session IPA,9300633654931,Beer,330,Glass,230,Active,205,13-Nov-17,60,30-Nov-22,Amber/Brown,,,BR-0003090,,,TRUE,
WW Water 20 x 250 Ml,9300633680497,Plain water (carbonated or non-carbonated),250,PET,133,Active,13,22-Nov-17,37,30-Nov-22,,Clear/Transparent,,BR-0005047,,,FALSE,
John Boston Pale Ale,9300633706821,Beer,330,Glass,230,Active,205,13-Nov-17,60,30-Nov-22,Amber/Brown,,,BR-0003088,,,TRUE,
John Boston Golden Ale,9300633706852,Beer,330,Glass,230,Active,205,13-Nov-17,60,30-Nov-22,Amber/Brown,,,BR-0003093,,,TRUE,
Homebrand Juice Chilled Orange 3l,9300633981167,Other,3000,PET,300,Rejected,101,18-Apr-18,137,30-Nov-22,,Clear/Transparent,,BR-0005026,Fruit juice,,TRUE,
Orchy 350mL PF NAS Smoothie Mango,9300713000146,Fruit juice,350,PET,174,Active,35,30-Nov-17,52,30-Nov-22,,Clear/Transparent,,BR-0007110,,,FALSE,
Orchy 350mL PF NAS Smoothie P/F,9300713000153,Fruit juice,350,PET,174,Active,35,30-Nov-17,52,30-Nov-22,,Clear/Transparent,,BR-0007112,,,FALSE,
Orchy 1L DRK Orange Nectar,9300713000276,Fruit juice,1000,PET,232,Active,49,30-Nov-17,72,30-Nov-22,,Clear/Transparent,,BR-0007134,,,TRUE,
Orchy 1L DRK Orange Passio Nectar,9300713000283,Fruit juice,1000,PET,232,Active,49,30-Nov-17,72,30-Nov-22,,Clear/Transparent,,BR-0007132,,,TRUE,
Orchy 1L DRK Orange Passio Nectar,9300713057225,Fruit juice,1000,PET,233,Active,37,30-Nov-17,86,30-Nov-22,,Clear/Transparent,,BR-0007133,,,TRUE,
Orchy 500mL NAS Apple Juice,9300713057461,Fruit juice,500,PET,177,Active,25,30-Nov-17,68,30-Nov-22,,Clear/Transparent,,BR-0007126,,,FALSE,
Orchy 500mL NAS O/Passio Juice,9300713058642,Fruit juice,500,PET,177,Active,25,30-Nov-17,68,30-Nov-22,,Clear/Transparent,,BR-0007128,,,FALSE,
Orchy 500mL NAS O/Mango Juice,9300713058697,Fruit juice,500,PET,177,Active,25,30-Nov-17,68,30-Nov-22,,Clear/Transparent,,BR-0007127,,,FALSE,
Orchy 500mL NAS ABC Juice,9300713059328,Fruit juice,500,PET,177,Active,25,30-Nov-17,68,30-Nov-22,,Clear/Transparent,,BR-0007125,,,FALSE,
Orchy 2L DRK Orange Mango Nectar,9300713059663,Fruit juice,2000,HDPE,246,Active,56,30-Nov-17,125,30-Nov-22,,,,BR-0007135,,,TRUE,
Orchy 350mL PF NAS Tropical Juice,9300713103526,Fruit juice,350,PET,174,Active,35,30-Nov-17,52,30-Nov-22,,Clear/Transparent,,BR-0007113,,,FALSE,
Orchy 2L PF DRK Cranberry Drink,9300713200300,Fruit juice,2000,PET,274,Active,82,30-Nov-17,97,30-Nov-22,,Clear/Transparent,,BR-0007137,,,TRUE,
Orchy 2L PF DRK Mango Nectar,9300713200409,Fruit juice,2000,PET,274,Active,82,30-Nov-17,97,30-Nov-22,,Clear/Transparent,,BR-0007139,,,TRUE,
Orchy 2L PF DRK Guava Nectar,9300713200508,Fruit juice,2000,PET,274,Active,82,30-Nov-17,97,30-Nov-22,,Clear/Transparent,,BR-0007138,,,TRUE,
William's Pale Ale,9300752550091,Beer,330,Glass,220,Active,205,16-Oct-17,60,30-Nov-22,Amber/Brown,,,BR-0000714,,,FALSE,
Spring Valley - Juice - Banana & Berry Nec,9300757000140,Fruit juice,375,Glass,169,Active,221,15-Nov-17,68,30-Nov-22,Flint/Clear,,,BR-0002248,,,TRUE,
Spring Valley - Juice - Cranberry Crush,9300757000157,Fruit juice,1250,PET,282,Active,69,15-Nov-17,92,30-Nov-22,,Clear/Transparent,,BR-0002249,,,TRUE,
Cool Ridge - Spring Water,9300757000164,Plain water (carbonated or non-carbonated),1000,PET,287,Active,27,15-Nov-17,77,30-Nov-22,,Other,,BR-0002250,,,TRUE,
BERRI 405M APRICOT NECTOR CAN,9310113262815,Flavoured water/soft drink/ sports drink (non-carb),405,Steel (cans),110,Active,57,17-Nov-17,75,30-Nov-22,,,,BR-0004078,,,TRUE,No
BER FD APRICOT NEC CAN 850ML,9310113262990,Flavoured water/soft drink/ sports drink (non-carb),850,Aluminium,175,Active,30,30-Nov-17,86,30-Nov-22,,,,BR-0004079,,,FALSE,No
JUST JCE 200M APPLE 6PK,9310113497507,Fruit juice,200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004077,,,FALSE,
JUST JCE 200M ABC 6PK,9310113497514,Fruit juice,200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004080,,,FALSE,
JUST JCE 200M ORANGE 6PK,9310113497538,Fruit juice,200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004081,,,FALSE,
JUST JCE ORG MGO NAS X200ML(4),9310113497545,Fruit juice,200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004082,,,FALSE,
JUST JCE 200M PARADISEPUNCH6PK,9310113497552,Fruit juice,200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004073,,,FALSE,
PRIMA 200M APPLE DRK 6PK,9310113497606,Flavoured water/soft drink/ sports drink (non-carb),200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004074,,,FALSE,
PRIMA 200M ABC DRK 6PK,9310113497613,Flavoured water/soft drink/ sports drink (non-carb),200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004083,,,FALSE,
PRIMA FD APP RASPCMB6X200ML(4),9310113497620,Flavoured water/soft drink/ sports drink (non-carb),200,LPB Aseptic (UHT or long life packs),85,Active,26,30-Nov-17,65,30-Nov-22,,,,BR-0004084,,,FALSE,
PRIMA 200M ORANGE DRK 6PK,9310113497637,Flavoured water/soft drink/ sports drink (non-carb),200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004085,,,FALSE,
PRIMA FD ORG MGO CMB6X200ML(4),9310113497644,Flavoured water/soft drink/ sports drink (non-carb),200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004075,,,FALSE,
PRIMA FD ORG PASSCMB6X200ML(4),9310113497651,Flavoured water/soft drink/ sports drink (non-carb),200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004076,,,FALSE,
PRIMA 200M TROPICAL DRK 6PK,9310113497668,Flavoured water/soft drink/ sports drink (non-carb),200,LPB Aseptic (UHT or long life packs),85,Active,10,30-Nov-17,65,30-Nov-22,,,,BR-0004087,,,FALSE,
DAILY JCE ABC NAS 250ML,9310113901868,Fruit juice,250,HDPE,150,Active,22,7-Dec-17,60,30-Nov-22,,,,BR-0004072,,,FALSE,
DAILY JCE APP NAS 250ML,9310113901875,Fruit juice,250,HDPE,150,Active,22,7-Dec-17,60,30-Nov-22,,,,BR-0004086,,,FALSE,
DAILY JCE NAS 250ML,9310113902346,Fruit juice,250,HDPE,150,Active,22,7-Dec-17,60,30-Nov-22,,,,BR-0004088,,,FALSE,
DF KIDS CHOCOLATE MILK 150ML,9310232956695,Flavoured milk,150,HDPE,136,Active,24,30-Nov-17,53,30-Nov-22,,,,BR-0004090,,,FALSE,
DF CLASSIC CHOC 750ML,9310232956831,Flavoured milk,750,HDPE,220,Active,19,17-Nov-17,76,30-Nov-22,,,,BR-0004089,,,FALSE,
Norco Scenic Rim Spring Water 600mL,9310272006336,Plain water (carbonated or non-carbonated),600,PET,200,Active,18,19-Jan-18,63,15-Jan-23,,Clear/Transparent,,BR-0008082,,,FALSE,
Staminade True Blue,9310347503913,Flavoured water/soft drink/ sports drink (non-carb),640,PET,230,Active,43,26-Oct-17,70,30-Nov-22,,Clear/Transparent,,BR-0000712,,,FALSE,
Staminade Wild Berry,9310347503920,Flavoured water/soft drink/ sports drink (non-carb),640,PET,230,Active,43,26-Oct-17,70,30-Nov-22,,Clear/Transparent,,BR-0000710,,,FALSE,
Staminade Lemon Lime,9310347504361,Flavoured water/soft drink/ sports drink (non-carb),640,PET,230,Active,43,26-Oct-17,70,30-Nov-22,,Clear/Transparent,,BR-0000717,,,FALSE,
Staminade Orange,9310347504378,Flavoured water/soft drink/ sports drink (non-carb),640,PET,230,Active,43,26-Oct-17,70,30-Nov-22,,Clear/Transparent,,BR-0000716,,,FALSE,
COOPERS MILD ALE,9310441002008,Beer,375,Aluminium,130,Active,15,17-Oct-17,70,30-Nov-22,,,,BR-0002478,,,FALSE,No
COOPERS CLEAR,9310441002787,Beer,355,Aluminium,160,Active,15,17-Oct-17,60,30-Nov-22,,,,BR-0002474,,,FALSE,No
CARLSBERG LAGER,9310441003364,Beer,500,Aluminium,170,Active,25,17-Oct-17,70,30-Nov-22,,,,BR-0002473,,,FALSE,No
COOPERS LAGER,9310441003975,Beer,355,Aluminium,130,Active,15,17-Oct-17,70,30-Nov-22,,,,BR-0002476,,,FALSE,No
COOPERS LIGHT,9310441004002,Beer,355,Aluminium,130,Active,15,17-Oct-17,70,30-Nov-22,,,,BR-0002477,,,FALSE,No
SESSION ALE,9310441004170,Beer,375,Aluminium,130,Active,15,5-Feb-18,70,11-Jan-23,,,,BR-0008039,,,FALSE,No
COOPERS SESSION ALE,9310441004217,Beer,375,Glass,230,Active,205,31-Aug-18,60,30-Jan-23,Amber/Brown,,,BR-0008247,,,TRUE,
JW Red&Dga 345ml BTL 04X06 4.6% 12,9310495071753,Premixed alcoholic beverages,345,Glass,220,Active,245,21-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0000644,,,FALSE,
Grdn & IndTnc 275ml BTL 06X04,9310495074686,Premixed alcoholic beverages,275,Glass,190,Active,188,21-Nov-17,50,30-Nov-22,Flint/Clear,,,BR-0000642,,,FALSE,
Smir Rasp&Lime 500ml LWB 12X01 4.5% 14,9310495079421,Premixed alcoholic beverages,500,Glass,220,Active,265,21-Nov-17,70,30-Nov-22,Flint/Clear,,,BR-0000645,,,FALSE,
Smir Pch IceTea 500ml LWB 12X01 4.5% 14,9310495079445,Premixed alcoholic beverages,500,Glass,220,Active,265,21-Nov-17,70,30-Nov-22,Flint/Clear,,,BR-0000646,,,FALSE,
Udl Ouzo & Cola 375ml CAN 04X06 4% 16,9310495079650,Premixed alcoholic beverages,375,Aluminium,130,Active,13,21-Nov-17,50,30-Nov-22,,,,BR-0000652,,,FALSE,No
Udl Vdk & Rbrry 375ml CAN 04X06 4% 16,9310495079742,Premixed alcoholic beverages,375,Aluminium,130,Active,13,21-Nov-17,50,30-Nov-22,,,,BR-0000653,,,FALSE,No
Udl Vdk Pnapple 375ml CAN 04X06 4% 16,9310495079865,Premixed alcoholic beverages,375,Aluminium,130,Active,13,21-Nov-17,60,30-Nov-22,,,,BR-0000651,,,FALSE,No
Tanqueray & Tonic 275mL 5.3% 17,9310495083466,Premixed alcoholic beverages,275,Glass,180,Active,190,18-Jan-18,57,10-Jan-23,Green,,,BR-0008024,,,FALSE,
Gatorade - Watermelon Chill,9310640000041,Flavoured water/soft drink/ sports drink (non-carb),600,PET,252,Active,54,15-Nov-17,70,30-Nov-22,,Clear/Transparent,,BR-0002251,,,TRUE,
Gatorade - Lemon & Lime,9310640000102,Flavoured water/soft drink/ sports drink (non-carb),1000,PET,232,Active,67,15-Nov-17,92,30-Nov-22,,Clear/Transparent,,BR-0002252,,,TRUE,
Gatorade - Orange Ice,9310640000195,Flavoured water/soft drink/ sports drink (non-carb),1000,PET,232,Active,67,15-Nov-17,92,30-Nov-22,,Clear/Transparent,,BR-0002253,,,TRUE,
Gatorade - Blue Bolt,9310640000201,Flavoured water/soft drink/ sports drink (non-carb),1000,PET,232,Active,67,15-Nov-17,92,30-Nov-22,,Clear/Transparent,,BR-0002254,,,TRUE,
Spring Valley - Juice - Banana & Mango,9310640000423,Fruit juice,1250,PET,282,Active,69,15-Nov-17,92,30-Nov-22,,Clear/Transparent,,BR-0002255,,,TRUE,
Canada Dry Ginger Ale 355mL,9310645108964,Flavoured water/soft drink (carbonated),355,Aluminium,120,Active,16,26-Oct-17,60,30-Nov-22,,,,BR-0002755,,,FALSE,No
COLES APPLE DRINK 1L,9310645110905,Fruit juice,1000,PET,200,Active,41,30-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0002796,,,TRUE,
COLES ORANGE DRINK 1L,9310645110912,Fruit juice,1000,PET,200,Active,41,30-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0002797,,,TRUE,
COLES TROPICAL DRINK 1L,9310645110943,Fruit juice,1000,PET,200,Active,41,30-Nov-17,90,30-Nov-22,,Clear/Transparent,,BR-0002798,,,TRUE,
A & W Root Beer 355mL,9310645111025,Flavoured water/soft drink (carbonated),355,Aluminium,120,Active,16,26-Oct-17,60,30-Nov-22,,,,BR-0002753,,,FALSE,No
Dr Pepper 355ml,9310645111032,Flavoured water/soft drink (carbonated),355,Aluminium,120,Active,16,26-Oct-17,60,30-Nov-22,,,,BR-0002754,,,FALSE,No
COLES LIGHTLY SPARKLING 500ML,9310645116334,Plain water (carbonated or non-carbonated),500,PET,220,Active,20,30-Nov-17,60,30-Nov-22,,Clear/Transparent,,BR-0002912,,,FALSE,
COLES PINEAPPLE 375ML,9310645118048,Flavoured water/soft drink (carbonated),375,Aluminium,130,Active,16,30-Nov-17,60,30-Nov-22,,,,BR-0002860,,,FALSE,No
COLES RASPBERRY 375ML,9310645118062,Flavoured water/soft drink (carbonated),375,Aluminium,130,Active,16,30-Nov-17,60,30-Nov-22,,,,BR-0002861,,,FALSE,No
COLES LEMONADE 375ML,9310645118079,Flavoured water/soft drink (carbonated),375,Aluminium,130,Active,16,30-Nov-17,60,30-Nov-22,,,,BR-0002859,,,FALSE,No
COLES MIXER DRY GINGER ALE 300ML,9310645183015,Flavoured water/soft drink (carbonated),300,Glass,190,Active,19,30-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0002931,,,FALSE,
COLES MIXER LEMON LIME BITTERS 300ML,9310645183022,Flavoured water/soft drink (carbonated),300,Glass,190,Active,19,30-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0002932,,,FALSE,
COLES MIXER SODA WATER 300ML,9310645183046,Plain water (carbonated or non-carbonated),300,Glass,190,Active,19,30-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0002933,,,FALSE,
COLES CRANBERRY DRINK 1.5L,9310645217048,Fruit juice,1500,PET,260,Active,62,30-Nov-17,80,30-Nov-22,,Clear/Transparent,,BR-0002800,,,TRUE,
LBC Iron Jack,9310876053910,Beer,700,Glass,273,Active,425,5-Feb-18,80,1-Feb-23,Amber/Brown,,,BR-0008260,,,TRUE,
Nippy's Fruitylicious Orange 350ml,9311336003506,Fruit juice,350,PET,173,Active,37.3,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005164,,,FALSE,
Nippy's Fruitylicious Apple 350ml,9311336003513,Fruit juice,350,PET,173,Active,37.3,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005161,,,FALSE,
Nippy's Fruitylicious Apple & Blackcurrant 350ml,9311336003520,Fruit juice,350,PET,173,Active,37.3,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005160,,,FALSE,
Nippy's Fruitylicious Pineapple 350ml,9311336003537,Fruit juice,350,PET,173,Active,37.3,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005165,,,FALSE,
Nippy's Fruitylicious Tomato 350ml,9311336003544,Fruit juice,350,PET,173,Active,37.3,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005166,,,FALSE,
Nippy's Fruitylicious Apple Mango & Banana 350ml,9311336003551,Fruit juice,350,PET,173,Active,37.3,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005162,,,FALSE,
Nippy's Fruitylicious Apply & Guava 350ml,9311336003568,Fruit juice,350,PET,173,Active,37.3,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005163,,,FALSE,
Nippy's Fruitylicious Multi Fruit 350ml,9311336003575,Fruit juice,350,PET,173,Active,37.3,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005167,,,FALSE,
Nippy's Apple Juice Unsweetened 300ml,9311336004022,Fruit juice,300,PET,153,Active,23.3,13-Nov-17,60,30-Nov-22,,Clear/Transparent,,BR-0005157,,,FALSE,
Nippy's Apple Blackcurrant Juice 300ml,9311336004053,Fruit juice,300,PET,153,Active,23.3,13-Nov-17,60,30-Nov-22,,Clear/Transparent,,BR-0005155,,,FALSE,
Nippy's Breakfast Juice 500ml Bottle,9311336005081,Fruit juice,500,PET,185,Active,26.1,13-Nov-17,67,30-Nov-22,,Clear/Transparent,,BR-0005159,,,FALSE,
Nippy's Apple Blackcurrant Long Life 250ml,9311336020046,Fruit juice,250,LPB Aseptic (UHT or long life packs),106,Active,11,13-Nov-17,65,30-Nov-22,,,,BR-0005154,,,FALSE,
Nippy's Apple Juice Unsweetened 250ml Long Life,9311336020077,Fruit juice,250,LPB Aseptic (UHT or long life packs),106,Active,11,13-Nov-17,65,30-Nov-22,,,,BR-0005156,,,FALSE,
Nippy's Iced Chocolate Milk 375ml,9311336030007,Flavoured milk,375,LPB Aseptic (UHT or long life packs),112,Active,14,13-Nov-17,92,30-Nov-22,,,,BR-0005173,,,FALSE,
Nippy's Iced Banana Milk 375ml,9311336030045,Flavoured milk,375,LPB Aseptic (UHT or long life packs),112,Active,14,13-Nov-17,92,30-Nov-22,,,,BR-0005171,,,FALSE,
Nippy's Iced Chocolate Milk 500ml Carton,9311336030076,Flavoured milk,500,LPB Aseptic (UHT or long life packs),143,Active,17,13-Nov-17,90,30-Nov-22,,,,BR-0005175,,,FALSE,
Nippy's Iced Coffee Milk 250ml,9311336030106,Flavoured milk,250,LPB Aseptic (UHT or long life packs),106,Active,11,13-Nov-17,65,30-Nov-22,,,,BR-0005176,,,FALSE,
Nippy's Iced Chocolate Milk 250ml,9311336030113,Flavoured milk,250,LPB Aseptic (UHT or long life packs),106,Active,11,13-Nov-17,65,30-Nov-22,,,,BR-0005172,,,FALSE,
Nippy's Iced Banana Milk 250ml,9311336030168,Flavoured milk,250,LPB Aseptic (UHT or long life packs),106,Active,11,13-Nov-17,65,30-Nov-22,,,,BR-0005170,,,FALSE,
Nippy's Iced Chocolate Milk 500ml Bottle,9311336030243,Flavoured milk,500,PET,188,Active,29.9,13-Nov-17,70,30-Nov-22,,Other,,BR-0005174,,,TRUE,
Yalumba Y Series Sauvignon Blanc 187ml,9311789001807,Wine,187,PET,170,Active,23,16-Oct-17,40,30-Nov-22,,Other,,BR-0000720,,,TRUE,
Yalumba Y Series Cabernet Sauvignon 187ml,9311789001814,Wine,187,PET,170,Active,23,16-Oct-17,40,30-Nov-22,,Other,,BR-0000722,,,TRUE,
